INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
21;08.12.2018 0:00:00;1;630000;31010
22;08.12.2018 0:00:00;1;630000;30547
23;08.12.2018 0:00:00;1;630000;30278
0;09.12.2018 0:00:00;1;630000;30189
1;09.12.2018 0:00:00;1;630000;30413
2;09.12.2018 0:00:00;1;630000;30500
3;09.12.2018 0:00:00;1;630000;30645
4;09.12.2018 0:00:00;1;630000;30918
5;09.12.2018 0:00:00;1;630000;31918
6;09.12.2018 0:00:00;1;630000;32335
7;09.12.2018 0:00:00;1;630000;32686
8;09.12.2018 0:00:00;1;630000;32839
9;09.12.2018 0:00:00;1;630000;32670
10;09.12.2018 0:00:00;1;630000;32847
11;09.12.2018 0:00:00;1;630000;32906
12;09.12.2018 0:00:00;1;630000;32824
13;09.12.2018 0:00:00;1;630000;33520
14;09.12.2018 0:00:00;1;630000;33909
15;09.12.2018 0:00:00;1;630000;33929
16;09.12.2018 0:00:00;1;630000;33626
17;09.12.2018 0:00:00;1;630000;33202
18;09.12.2018 0:00:00;1;630000;33146
19;09.12.2018 0:00:00;1;630000;32132
20;09.12.2018 0:00:00;1;630000;31362
21;09.12.2018 0:00:00;1;630000;30597
22;09.12.2018 0:00:00;1;630000;30499
23;09.12.2018 0:00:00;1;630000;30173
0;10.12.2018 0:00:00;1;630000;30036
1;10.12.2018 0:00:00;1;630000;30279
2;10.12.2018 0:00:00;1;630000;30945
3;10.12.2018 0:00:00;1;630000;31926
4;10.12.2018 0:00:00;1;630000;33103
5;10.12.2018 0:00:00;1;630000;34102
6;10.12.2018 0:00:00;1;630000;34087
7;10.12.2018 0:00:00;1;630000;34200
8;10.12.2018 0:00:00;1;630000;33913
9;10.12.2018 0:00:00;1;630000;33933
10;10.12.2018 0:00:00;1;630000;33812
11;10.12.2018 0:00:00;1;630000;34210
12;10.12.2018 0:00:00;1;630000;33942
13;10.12.2018 0:00:00;1;630000;34260
14;10.12.2018 0:00:00;1;630000;34733
15;10.12.2018 0:00:00;1;630000;34415
16;10.12.2018 0:00:00;1;630000;34219
17;10.12.2018 0:00:00;1;630000;33804
18;10.12.2018 0:00:00;1;630000;33374
19;10.12.2018 0:00:00;1;630000;32491
20;10.12.2018 0:00:00;1;630000;31335
21;10.12.2018 0:00:00;1;630000;31010
22;10.12.2018 0:00:00;1;630000;30615
23;10.12.2018 0:00:00;1;630000;30358
0;11.12.2018 0:00:00;1;630000;30311
1;11.12.2018 0:00:00;1;630000;30591
2;11.12.2018 0:00:00;1;630000;31315
3;11.12.2018 0:00:00;1;630000;32442
4;11.12.2018 0:00:00;1;630000;33434
5;11.12.2018 0:00:00;1;630000;34427
6;11.12.2018 0:00:00;1;630000;34646
7;11.12.2018 0:00:00;1;630000;34776
8;11.12.2018 0:00:00;1;630000;34093
9;11.12.2018 0:00:00;1;630000;34253
10;11.12.2018 0:00:00;1;630000;33976
11;11.12.2018 0:00:00;1;630000;34032
12;11.12.2018 0:00:00;1;630000;33948
13;11.12.2018 0:00:00;1;630000;34555
14;11.12.2018 0:00:00;1;630000;34969
15;11.12.2018 0:00:00;1;630000;34558
16;11.12.2018 0:00:00;1;630000;34050
17;11.12.2018 0:00:00;1;630000;34113
18;11.12.2018 0:00:00;1;630000;33639
19;11.12.2018 0:00:00;1;630000;32689
20;11.12.2018 0:00:00;1;630000;31802
21;11.12.2018 0:00:00;1;630000;31132
22;11.12.2018 0:00:00;1;630000;30696
23;11.12.2018 0:00:00;1;630000;30534
0;12.12.2018 0:00:00;1;630000;30633
1;12.12.2018 0:00:00;1;630000;30637
2;12.12.2018 0:00:00;1;630000;31512
3;12.12.2018 0:00:00;1;630000;32418
4;12.12.2018 0:00:00;1;630000;33295
5;12.12.2018 0:00:00;1;630000;34537
6;12.12.2018 0:00:00;1;630000;34636
7;12.12.2018 0:00:00;1;630000;34563
8;12.12.2018 0:00:00;1;630000;34015
9;12.12.2018 0:00:00;1;630000;33979
10;12.12.2018 0:00:00;1;630000;34018
11;12.12.2018 0:00:00;1;630000;33852
12;12.12.2018 0:00:00;1;630000;33784
13;12.12.2018 0:00:00;1;630000;34235
14;12.12.2018 0:00:00;1;630000;34547
15;12.12.2018 0:00:00;1;630000;34390
16;12.12.2018 0:00:00;1;630000;33928
17;12.12.2018 0:00:00;1;630000;33948
18;12.12.2018 0:00:00;1;630000;33413
19;12.12.2018 0:00:00;1;630000;32401
20;12.12.2018 0:00:00;1;630000;31482
21;12.12.2018 0:00:00;1;630000;31012
22;12.12.2018 0:00:00;1;630000;30382
23;12.12.2018 0:00:00;1;630000;30306
0;13.12.2018 0:00:00;1;630000;30408
1;13.12.2018 0:00:00;1;630000;30643
2;13.12.2018 0:00:00;1;630000;30877
3;13.12.2018 0:00:00;1;630000;31771
4;13.12.2018 0:00:00;1;630000;33165
5;13.12.2018 0:00:00;1;630000;34125
6;13.12.2018 0:00:00;1;630000;33971
7;13.12.2018 0:00:00;1;630000;33764
8;13.12.2018 0:00:00;1;630000;33492
9;13.12.2018 0:00:00;1;630000;33421
10;13.12.2018 0:00:00;1;630000;33501
11;13.12.2018 0:00:00;1;630000;33431
12;13.12.2018 0:00:00;1;630000;33618
13;13.12.2018 0:00:00;1;630000;34028
14;13.12.2018 0:00:00;1;630000;34141
15;13.12.2018 0:00:00;1;630000;34128
16;13.12.2018 0:00:00;1;630000;33711
17;13.12.2018 0:00:00;1;630000;33369
18;13.12.2018 0:00:00;1;630000;32998
19;13.12.2018 0:00:00;1;630000;31962
20;13.12.2018 0:00:00;1;630000;31337
21;13.12.2018 0:00:00;1;630000;30771
22;13.12.2018 0:00:00;1;630000;30239
23;13.12.2018 0:00:00;1;630000;30072
0;14.12.2018 0:00:00;1;630000;30113
1;14.12.2018 0:00:00;1;630000;30362
2;14.12.2018 0:00:00;1;630000;30747
3;14.12.2018 0:00:00;1;630000;32201
4;14.12.2018 0:00:00;1;630000;33126
5;14.12.2018 0:00:00;1;630000;34215
6;14.12.2018 0:00:00;1;630000;34388
7;14.12.2018 0:00:00;1;630000;34019
8;14.12.2018 0:00:00;1;630000;33965
9;14.12.2018 0:00:00;1;630000;33783
10;14.12.2018 0:00:00;1;630000;33681
11;14.12.2018 0:00:00;1;630000;33857
12;14.12.2018 0:00:00;1;630000;33771
13;14.12.2018 0:00:00;1;630000;34142
14;14.12.2018 0:00:00;1;630000;34528
15;14.12.2018 0:00:00;1;630000;34355
